super 5.0.x	super 4.0.x	super 3.0
--deadline-days-soft=number	--deadline-days-soft=number	--soft-days=number
--deadline-days-hard=number	--deadline-days-hard=number	--hard-days=number
--deadline-days-restart-all	--deadline-days-restart-all	--restart-days
--deadline-days-delete-all	--deadline-days-delete-all	--delete-days
--deadline-date-focus=YYYY-MM-DD:hh:mm	--deadline-date-focus=YYYY-MM-DD:hh:mm	--focus-date=YYYY-MM-DD:hh:mm
--deadline-date-soft=YYYY-MM-DD:hh:mm	--deadline-date-soft=YYYY-MM-DD:hh:mm	--soft-date=YYYY-MM-DD:hh:mm
--deadline-date-hard=YYYY-MM-DD:hh:mm	--deadline-date-hard=YYYY-MM-DD:hh:mm	--hard-date=YYYY-MM-DD:hh:mm
--deadline-date-delete-all	--deadline-date-delete-all	--delete-dates
--dialog-timeout-default=seconds	--dialog-timeout-default=seconds	N/A
--dialog-timeout-user-auth=seconds	--dialog-timeout-user-auth=seconds	--user-auth-timeout=seconds
--dialog-timeout-user-choice=seconds	--dialog-timeout-restart-or-defer=seconds	--defer-dialog-timeout=seconds
--dialog-timeout-user-schedule=seconds	N/A	N/A
--dialog-timeout-soft-deadline=seconds	--dialog-timeout-soft-deadline=seconds	--soft-dialog-timeout=seconds
--dialog-timeout-insufficient-storage=seconds	--dialog-timeout-insufficient-storage=seconds	--free-space-timeout=seconds
--dialog-timeout-power-required=seconds	--dialog-timeout-power-required=seconds	--battery-timeout=seconds
--dialog-timeout-delete-all	--dialog-timeout-delete-all	N/A
--display-unmovable=ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR	--display-unmovable=ALWAYS,SOFT,HARD,INSTALLNOW,DEFER,USERAUTH,POWER,STORAGE	N/A
--display-hide-background=ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR	--display-hide-background=ALWAYS,SOFT,HARD,INSTALLNOW,DEFER,USERAUTH,POWER	N/A
--display-silently=ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR	--display-silently=ALWAYS,SOFT,HARD,INSTALLNOW,DEFER,USERAUTH,POWER,STORAGE	--display-silently (—display-silently-off)
--display-hide-progress-bar=ALWAYS,DEADLINE,SCHEDULED,INSTALLNOW,ERROR	N/A	N/A
--display-notifications-centered=ALWAYS,DEADLINE,SCHEDULED,INSTALLNOW,ERROR	--display-notifications-centered=ALWAYS,SOFT,HARD,INSTALLNOW	N/A
--display-icon-size=pixels	--display-icon-size=pixels	--icon-size-ibm=pixels
--display-icon-file=/local/path or URL	--display-icon-file=/local/path or URL	--display-icon=/local/path or URL
--display-icon-light-file=/local/path or URL	N/A	N/A
--display-icon-dark-file=/local/path or URL	N/A	N/A
--display-accessory-type=TEXTBOX|HTMLBOX|HTML|IMAGE|VIDEO|VIDEOAUTO	--display-accessory-type=TEXTBOX|HTMLBOX|HTML|IMAGE|VIDEO|VIDEOAUTO	--display-accessory-type=TEXTBOX|HTMLBOX|HTML|IMAGE|VIDEO|VIDEOAUTO
--display-accessory-default-file=/local/path or URL	--display-accessory-default-file=/local/path or URL	--display-accessory-default=/local/path or URL
--display-accessory-macos-minor-update-file=/local/path or URL	--display-accessory-update-file=/local/path or URL	--display-accessory-update=/local/path or URL
--display-accessory-macos-major-upgrade-file=/local/path or URL	--display-accessory-upgrade-file=/local/path or URL	--display-accessory-upgrade=/local/path or URL
--display-accessory-non-system-updates-file=/local/path or URL	N/A	N/A
--display-accessory-jamf-policy-triggers-file=/local/path or URL	N/A	N/A
--display-accessory-restart-without-updates-file=/local/path or URL	N/A	N/A
--display-help-button-string=plain text or URL	--display-help-button-string=plain text or URL	--help-button=plain text or URL
--display-warning-button-string=plain text or URL	--display-warning-button-string=plain text or URL	--warning-button=plain text or URL
--auth-ask-user-to-save-password	--auth-ask-user-to-save-password	N/A
--auth-ask-user-to-save-password-off	--auth-ask-user-to-save-password-off	N/A
--auth-local-account=AccountName	--auth-local-account=AccountName	--local-account=AccountName
--auth-local-password=Password	--auth-local-password=Password	--local-password=Password
--auth-service-add-via-admin-account=AccountName	--auth-service-add-via-admin-account=AccountName	--admin-account=AccountName
--auth-service-add-via-admin-password=Password	--auth-service-add-via-admin-password=Password	--admin-password=Password
--auth-service-account=AccountName	--auth-service-account=AccountName	--super-account=AccountName
--auth-service-password=Password	--auth-service-password=Password	--super-password=Password
--auth-jamf-client=ClientID	--auth-jamf-client=ClientID	N/A
--auth-jamf-secret=ClientSecret	--auth-jamf-secret=ClientSecret	N/A
--auth-jamf-account=AccountName	--auth-jamf-account=AccountName	--jamf-account=AccountName
--auth-jamf-password=Password	--auth-jamf-password=Password	--jamf-password=Password
--auth-jamf-custom-url=URL	--auth-jamf-custom-url=URL	N/A
--auth-delete-all	--auth-delete-all	--delete-accounts
--auth-credential-failover-to-user	--auth-credential-failover-to-user	N/A
--auth-credential-failover-to-user-off	--auth-credential-failover-to-user-off	N/A
--auth-mdm-failover-to-user=ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR	--auth-mdm-failover-to-user=ALWAYS,NOSERVICE,SOFT,HARD,INSTALLNOW,BOOTSTRAP	--user-auth-mdm-failover=ALWAYS,NOSERVICE,SOFT,HARD,INSTALLNOW,BOOTSTRAP
--test-mode	--test-mode	--test-mode
--test-mode-off	--test-mode-off	--test-mode-off
--test-mode-timeout=seconds	--test-mode-timeout=seconds	--test-mode-timeout=seconds
--test-storage-update=gigabytes	--test-storage-update=gigabytes	--free-space-update=gigabytes
--test-storage-upgrade=gigabytes	--test-storage-upgrade=gigabytes	--free-space-upgrade=gigabytes
--test-battery-level=percentage	--test-battery-level=percentage	--battery-level=percentage
--open-logs	--open-logs	--open-logs
--reset-super	--reset-super	--reset-super
--verbose-mode	--verbose-mode	--verbose-mode
--verbose-mode-off	--verbose-mode-off	--verbose-mode-off
--usage	--usage	--usage
--help	--help	--help
REMOVED	--display-accessory-user-auth-file=/local/path or URL	--display-accessory-user-auth=/local/path or URL
REMOVED	REMOVED	--display-redraw=seconds
REMOVED	REMOVED	--icon-size-jamf=pixels
REMOVED	REMOVED	--prefer-jamf-helper
REMOVED	REMOVED	--prefer-jamf-helper-off
